layer,mean_energy_at_10pct,mean_stable_rank
visual.positional_embedding,0.5696282851404996,4.1324018955230715
visual.proj,0.9932376028397467,4.435132217407227
visual.transformer.resblocks.0.attn.in_proj_weight,0.9607607582003659,4.5789794921875
visual.transformer.resblocks.0.attn.out_proj.weight,0.924593143960738,5.557212162017822
visual.transformer.resblocks.0.mlp.c_fc.weight,0.9055195897505726,7.118026638031006
visual.transformer.resblocks.0.mlp.c_proj.weight,0.8721691576737536,3.890079402923584
visual.transformer.resblocks.1.attn.in_proj_weight,0.9053659847298732,6.990594005584716
visual.transformer.resblocks.1.attn.out_proj.weight,0.9241943543382425,5.776147174835205
visual.transformer.resblocks.1.mlp.c_fc.weight,0.8326726826591416,8.021152019500732
visual.transformer.resblocks.1.mlp.c_proj.weight,0.8536953836642475,2.6826264381408693
visual.transformer.resblocks.2.attn.in_proj_weight,0.876015540449939,7.209103202819824
visual.transformer.resblocks.2.attn.out_proj.weight,0.8977433749910896,6.194393539428711
visual.transformer.resblocks.2.mlp.c_fc.weight,0.8103987766021369,7.27226037979126
visual.transformer.resblocks.2.mlp.c_proj.weight,0.8422127513357907,3.35717978477478
visual.transformer.resblocks.3.attn.in_proj_weight,0.8368014541393614,9.158960247039795
visual.transformer.resblocks.3.attn.out_proj.weight,0.8831877790597451,8.165377998352051
visual.transformer.resblocks.3.mlp.c_fc.weight,0.7962064296573642,8.255285739898682
visual.transformer.resblocks.3.mlp.c_proj.weight,0.8349213211903462,4.11794695854187
visual.transformer.resblocks.4.attn.in_proj_weight,0.8215874922305897,9.587080478668213
visual.transformer.resblocks.4.attn.out_proj.weight,0.9001785013920282,7.518829441070556
visual.transformer.resblocks.4.mlp.c_fc.weight,0.7934645016778018,7.2007159233093265
visual.transformer.resblocks.4.mlp.c_proj.weight,0.8569870734658902,3.5602548122406006
visual.transformer.resblocks.5.attn.in_proj_weight,0.8162264558539342,9.577387046813964
visual.transformer.resblocks.5.attn.out_proj.weight,0.9003325763014016,8.00366907119751
visual.transformer.resblocks.5.mlp.c_fc.weight,0.806615883838379,7.1623457908630375
visual.transformer.resblocks.5.mlp.c_proj.weight,0.8832312948367831,3.709750175476074
visual.transformer.resblocks.6.attn.in_proj_weight,0.8364784010398412,7.155617523193359
visual.transformer.resblocks.6.attn.out_proj.weight,0.9233164367435973,7.852423858642578
visual.transformer.resblocks.6.mlp.c_fc.weight,0.8230926106085061,6.4920656204223635
visual.transformer.resblocks.6.mlp.c_proj.weight,0.8943181604298651,2.9564353466033935
visual.transformer.resblocks.7.attn.in_proj_weight,0.8699553076063076,6.118867635726929
visual.transformer.resblocks.7.attn.out_proj.weight,0.9265235069636633,6.132419776916504
visual.transformer.resblocks.7.mlp.c_fc.weight,0.8363124594169069,5.6417333602905275
visual.transformer.resblocks.7.mlp.c_proj.weight,0.9070811886667656,2.6141072273254395
visual.transformer.resblocks.8.attn.in_proj_weight,0.8781339673109203,6.230296516418457
visual.transformer.resblocks.8.attn.out_proj.weight,0.9253362901972382,6.2606555938720705
visual.transformer.resblocks.8.mlp.c_fc.weight,0.8443762666400658,5.196880054473877
visual.transformer.resblocks.8.mlp.c_proj.weight,0.8965449017790803,2.8474670886993407
visual.transformer.resblocks.9.attn.in_proj_weight,0.8884914907383271,5.635344791412353
visual.transformer.resblocks.9.attn.out_proj.weight,0.9330137623191106,5.3517249584197994
visual.transformer.resblocks.9.mlp.c_fc.weight,0.8229192798922998,5.393126678466797
visual.transformer.resblocks.9.mlp.c_proj.weight,0.8928268255089545,3.088422155380249
visual.transformer.resblocks.10.attn.in_proj_weight,0.8984714564805201,5.506979846954346
visual.transformer.resblocks.10.attn.out_proj.weight,0.9460058744635234,6.587417125701904
visual.transformer.resblocks.10.mlp.c_fc.weight,0.8429611238795225,5.37433557510376
visual.transformer.resblocks.10.mlp.c_proj.weight,0.9552746606236517,2.8944488048553465
visual.transformer.resblocks.11.attn.in_proj_weight,0.9281108532854031,3.944895935058594
visual.transformer.resblocks.11.attn.out_proj.weight,0.9879911653331999,4.924964809417725
visual.transformer.resblocks.11.mlp.c_fc.weight,0.9625457797944847,3.7104796409606933
visual.transformer.resblocks.11.mlp.c_proj.weight,0.9960786294445869,1.8279265403747558
