method,rank_frac,comp_ratio,avg,MNIST,EuroSAT,DTD,GTSRB,SVHN
task_arithmetic,1.0,1.0,0.805078125,0.96875,0.736328125,0.5703125,0.8828125,0.8671875
tsv_compress_sum,0.05,0.06607595899857144,0.796484375,0.966796875,0.73046875,0.556640625,0.86328125,0.865234375
tsv_compress_sum,0.1,0.13386254531630443,0.8015625,0.96875,0.734375,0.5625,0.876953125,0.865234375
tsv_compress_sum,0.2,0.26771378963351633,0.80390625,0.96875,0.734375,0.56640625,0.8828125,0.8671875
tsv_compress_sum,0.5,0.6675794972641755,0.8046875,0.96875,0.736328125,0.568359375,0.8828125,0.8671875
tsv_merge,0.05,0.06607595899857144,0.81484375,0.97265625,0.92578125,0.568359375,0.806640625,0.80078125
tsv_merge,0.1,0.13386254531630443,0.80703125,0.966796875,0.91796875,0.56640625,0.798828125,0.78515625
tsv_merge,0.2,0.26771378963351633,0.78828125,0.95703125,0.904296875,0.541015625,0.7734375,0.765625
tsv_merge,0.5,0.6675794972641755,0.72421875,0.921875,0.830078125,0.498046875,0.642578125,0.728515625
